id,state,abbreviation,TotalPopulation,bachelorsAndHigher,highscoolAndLower,combined,college,income,latitude,longitude
1,Alabama,AL,4849377,6.8,16.1,22.9,20.4,38.8,32.84057112,-86.63186076
2,Alaska,AK,736732,7,14.5,21.5,24.1,55.6,64.84507996,-147.722059
4,Arizona,AZ,6731484,6.9,17,23.9,23.9,40.8,34.86597028,-111.7638113
5,Arkansas,AR,2966369,7.4,14.2,21.6,18.2,32.9,34.74865012,-92.27449074
6,California,CA,38802500,9.5,13,22.5,27.3,44.6,37.63864012,-120.9999995
8,Colorado,CO,5355866,11.2,12.7,23.9,33.4,53,38.84384076,-106.1336109
9,Connecticut,CT,3596677,14.1,11.8,25.9,32.9,56.5,41.56266102,-72.64984095
10,Delaware,DE,935614,8.5,15.3,23.8,26.1,48.4,39.00883067,-75.57774117
11,District of Columbia,DC,658893,23.7,11.7,35.4,49.1,53.7,38.89037139,-77.03196113
12,Florida,FL,19893297,8.2,16.5,24.7,24.1,40.1,28.93204038,-81.92896054
13,Georgia,GA,10097343,8.2,16.9,25.1,24.7,41.5,32.83968109,-83.62758035
15,Hawaii,HI,1419561,7.5,8.5,16,27.3,49.1,21.30485044,-157.8577494
16,Idaho,ID,1634464,5.5,14.1,19.6,22.4,41.9,43.68263001,-114.36373
17,Illinois,IL,12880580,12.9,12.8,25.7,28.4,48.1,40.48501028,-88.99771018
18,Indiana,IN,6596855,9,17,26,20.8,41.3,39.76691045,-86.14996019
19,Iowa,IA,3107126,9.8,10.7,20.5,23.4,47.7,42.46940091,-93.81649056
20,Kansas,KS,2904021,10.3,12.7,23,27,45.9,38.3477403,-98.20078123
21,Kentucky,KY,4413457,8.4,13.3,21.7,19.3,37.4,37.64597027,-84.77497105
22,Louisiana,LA,4649676,7.2,19.2,26.4,19.8,40.8,31.31266064,-92.44568007
23,Maine,ME,1330089,10.9,11.9,22.8,25.6,42.9,45.25422889,-68.98503134
24,Maryland,MD,5976407,12.7,12.2,24.9,33.3,58,39.29058096,-76.60926011
25,Massachusetts,MA,6745408,17.2,10.2,27.4,35.5,54,42.27687047,-72.08269067
26,Michigan,MI,9909877,9.7,13.1,22.8,23.4,44.7,44.66131954,-84.71439027
27,Minnesota,MN,5457173,12.8,12,24.8,29.6,53.6,46.35564874,-94.7942005
28,Mississippi,MS,2994079,5.7,17.9,23.6,18.1,30.5,32.7455101,-89.53803082
29,Missouri,MO,6063589,9.2,13.2,22.4,23.8,44.5,38.63579078,-92.56630005
30,Montana,MT,1023579,6.7,13.3,20,26.2,41.4,47.06652897,-109.4244206
31,Nebraska,NE,1881503,10.9,10.6,21.5,25.8,46.6,41.64104099,-99.36572062
32,Nevada,NV,2839099,5.4,18.2,23.6,19.9,44,39.49324039,-117.0718406
33,New Hampshire,NH,1326813,12,11.4,23.4,31,55.8,43.65595011,-71.50036092
34,New Jersey,NJ,8938175,14.4,12.1,26.5,32.5,55.9,40.13057005,-74.27369129
35,New Mexico,NM,2085572,5,18.3,23.3,22.8,34.6,34.52088095,-106.240581
36,New York,NY,19746227,15.1,12.8,27.9,30.4,45.9,42.82700103,-75.54397043
37,North Carolina,NC,9943964,9.5,13.8,23.3,24.3,40,35.46622098,-79.15925046
38,North Dakota,ND,739482,12.9,10.9,23.8,25,51.8,47.47531978,-100.118421
39,Ohio,OH,11594163,9.5,13.7,23.2,22.8,44,40.06021014,-82.40426006
40,Oklahoma,OK,3878051,7.1,16.6,23.7,21,40.2,35.47203136,-97.52107021
41,Oregon,OR,3970239,7.6,13.6,21.2,26.8,43.4,44.56744942,-120.1550313
42,Pennsylvania,PA,12787209,12.1,12,24.1,25.1,47.1,40.79373015,-77.86070029
44,Rhode Island,RI,1055173,12.1,11.2,23.3,27.9,49.1,41.70828019,-71.52247031
45,South Carolina,SC,4832482,8.4,14.5,22.9,22.5,37.7,33.9988213,-81.04537121
46,South Dakota,SD,853175,7.1,16,23.1,23.8,45.2,44.35313005,-100.3735306
47,Tennessee,TN,6549352,8.8,12.9,21.7,21.5,37.2,35.68094058,-85.77449091
48,Texas,TX,26956958,7.8,16.3,24.1,23.5,42.4,31.82724041,-99.42677021
49,Utah,UT,2942902,6.6,14.1,20.7,25.8,51.5,39.36070017,-111.5871306
50,Vermont,VT,626562,12.7,8.6,21.3,31.5,48.2,43.62538124,-72.51764079
51,Virginia,VA,8326289,12.1,10.8,22.9,31.7,52.1,37.54268067,-78.45789046
53,Washington,WA,7061530,10.6,15.2,25.8,28.7,51.9,47.52227863,-120.4700108
54,West Virginia,WV,1850326,6.9,14.2,21.1,16.6,35.3,38.6655102,-80.71264013
55,Wisconsin,WI,5757564,10.5,11.1,21.6,24.3,46.6,44.39319117,-89.81637074
56,Wyoming,WY,584153,6.6,12,18.6,22.8,50.7,43.23554134,-108.1098304
72,Puerto Rico,PR,3548397,7.6,11,18.6,29.4,7.9,18.220833,-66.590149
